feature,coef
Form der Fahrradnutzung_Beides,0.26388609656005174
Nutzung Methode_Augenmaß / Gefühl,0.2614642286016092
Dauer aktives Radfahren,0.24532499071411457
Gefühl Sitzposition_Etwas besser,-0.18402865853356076
Form der Fahrradnutzung_Sport / Training,-0.18235683963297633
Nutzung Methode_Kniewinkel,-0.16610434507897065
Beininnenlänge,0.1475658837185493
Nutzung Methode_Hüfte,-0.14752668593574286
Größe,0.1314682423055605
Fahrradtyp_Trecking,-0.1305238833415547
Fahrradtyp_Gravelbike,-0.1279965719095247
Methode bekannt_Hüfte,-0.12409508617474416
Fahrradtyp_Sonstige,-0.11852463512696841
Methode bekannt_keine,0.11589854966431624
Dauer Satteleinst.,-0.11468918231336402
Alter,0.1068924796475706
"Satteleinstellung, wer_Fahrradladen / Mechaniker",-0.10667463038712721
Ben. Zeit,0.10485613788424661
Sitzhoehe_rel,-0.10283285856797302
Form der Fahrradnutzung_Gelegentlich/Kein regelmäßiges Fahren,-0.08206119262707169
Fahrradtyp_Crosscountry,0.08144719147368978
Professionelles Bikefitting_Ja [Jahr],0.08144719147368978
Professionelles Bikefitting_Nein,-0.08144719147368978
Fahrradtyp_E-Bike,-0.08035406639895176
n_Methods_used,0.0756184394471788
Form der Fahrradnutzung_Sonstiges,-0.07371440073387206
Methode bekannt_Formeln / Berechnung nach Beinlänge,0.06997184737946555
Sitzhöhe,0.0676781984589129
Gefühl Sitzposition_Kein Unterschied,0.06526919699932063
Fahrradtyp_Moutainbike,-0.05811278174732694
Gefühl Sitzposition_Deutlich besser,-0.0581040811939437
Zuverlässigkeit,0.05741655250532455
km/Woche_Code,0.05372913126956299
Häufigkeit / Woche,-0.03676769505856535
Form der Fahrradnutzung_Reines Fortbewegungsmittel,-0.034827547664333006
Gefühl Sitzposition_Etwas schlechter,0.03012281916728056
Fahrradtyp_City/Commuter,0.025988132756673676
Nutzung Methode_Fersenmethode,0.02307047809770683
Methode bekannt_Fersenmethode,0.02307047809770683
Geschlecht_männlich,0.019497686142065457
Geschlecht_weiblich,-0.019497686142065457
Methode bekannt_Kniewinkel,-0.015763995225006183
Längerer Zeitraum,-0.015469412761063934
Veränderungsimpuls,-0.012619543448817147
Fahrradtyp_Rennard,0.01174527828204549
n_Methods_known,-0.005480149227119121
Nutzung Methode_Formeln / Berechnung nach Beinlänge,-0.001986649529218691
"Satteleinstellung, wer_Ich selbst",0.001546971282379415
