feature,coef
Form der Fahrradnutzung_Beides,-0.6948601398746609
Ben. Zeit,-0.6886368246463512
Nutzung Methode_Augenmaß / Gefühl,-0.6093213303431619
Zuverlässigkeit,-0.5721264374546077
Gefühl Sitzposition_Etwas besser,0.5565156999066084
Fahrradtyp_Sonstige,-0.5322428772998001
Form der Fahrradnutzung_Sonstiges,0.526899626495342
"Satteleinstellung, wer_Ich selbst",0.5160632018794015
Fahrradtyp_Gravelbike,0.504043057628028
Dauer aktives Radfahren,-0.46188068626739287
Fahrradtyp_Trecking,0.4373732690266163
Gefühl Sitzposition_Deutlich besser,-0.4126212305223465
Nutzung Methode_Fersenmethode,0.38230072168467416
Methode bekannt_Fersenmethode,0.38230072168467416
Fahrradtyp_Moutainbike,0.36114679539936817
Nutzung Methode_Kniewinkel,0.3550238902708045
Alter,-0.3409246494239954
km/Woche_Code,0.3151691276166048
Form der Fahrradnutzung_Sport / Training,0.3068986863584856
Professionelles Bikefitting_Ja [Jahr],-0.29117711147995956
Professionelles Bikefitting_Nein,0.29117711147995956
Fahrradtyp_Crosscountry,-0.29117711147995956
Geschlecht_weiblich,-0.26923871532681665
Geschlecht_männlich,0.26923871532681665
Fahrradtyp_Rennard,0.2636049652281042
Nutzung Methode_Hüfte,0.24673520020451034
Fahrradtyp_E-Bike,0.24359932159191483
Nutzung Methode_Formeln / Berechnung nach Beinlänge,-0.20016501565291245
Sitzhöhe,-0.1858168904704045
"Satteleinstellung, wer_Fahrradladen / Mechaniker",0.17201750040435368
Beininnenlänge,-0.1689690669289799
Methode bekannt_keine,0.12203886219036215
Veränderungsimpuls,0.12071450686667343
Methode bekannt_Kniewinkel,-0.11675970753244647
Methode bekannt_Hüfte,-0.10521165096113472
n_Methods_known,0.09344706326573023
Fahrradtyp_City/Commuter,-0.08767928456666638
Häufigkeit / Woche,0.08331976529115957
Längerer Zeitraum,0.0724359080328592
Form der Fahrradnutzung_Reines Fortbewegungsmittel,0.062409143018416845
Sitzhoehe_rel,-0.0543483294587574
Gefühl Sitzposition_Kein Unterschied,-0.053676039518345105
Dauer Satteleinst.,0.04771637492042963
n_Methods_used,0.04554505133865664
Größe,0.041996963188322786
Methode bekannt_Formeln / Berechnung nach Beinlänge,-0.005611431070070706
Form der Fahrradnutzung_Gelegentlich/Kein regelmäßiges Fahren,0.005496980905741875
Gefühl Sitzposition_Etwas schlechter,-0.0031092020027824407
